category,domain_name,file_name,file_urls,files,meaning,word
adj.,uchicago_S_Hassan,aḍι ōm,http://dsal.uchicago.edu/dictionaries/hassan/audio//00050.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00050.mp3', 'path': 'uchicago_S_Hassan/aḍι ōm.mp3', 'checksum': '252cde5f1b14ea1e226232a2aa35a466', 'status': 'downloaded'}]","incomplete, half-done, half-prepared, half-baked, half-dressed",aḍι ōm
adj.,uchicago_S_Hassan,aḍι buz,http://dsal.uchicago.edu/dictionaries/hassan/audio//00047.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00047.mp3', 'path': 'uchicago_S_Hassan/aḍι buz.mp3', 'checksum': 'b0e690b0023846442ccf94aa4971e267', 'status': 'downloaded'}]",half-roasted,aḍι buz
n.m.,uchicago_S_Hassan,aḍιkol,http://dsal.uchicago.edu/dictionaries/hassan/audio//00053.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00053.mp3', 'path': 'uchicago_S_Hassan/aḍιkol.mp3', 'checksum': 'ad6dbd570b45e6e664a80dba873a71d7', 'status': 'downloaded'}]","one who stammer, to pause or falters in speaking",aḍιkol
adj.,uchicago_S_Hassan,aḍι pop,http://dsal.uchicago.edu/dictionaries/hassan/audio//00051.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00051.mp3', 'path': 'uchicago_S_Hassan/aḍι pop.mp3', 'checksum': '4f60fcbcf6a38add4beca95acdeefdc2', 'status': 'downloaded'}]","unripe, incomplete, immature",aḍι pop
adj.,uchicago_S_Hassan,aḍιmōr,http://dsal.uchicago.edu/dictionaries/hassan/audio//00055.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00055.mp3', 'path': 'uchicago_S_Hassan/aḍιmōr.mp3', 'checksum': '28e9fdb2f92173ef646eefc87637b0fc', 'status': 'downloaded'}]",grievous bodily harm by severe and repeated blows and kicks,aḍιmōr
n.m.,uchicago_S_Hassan,aḍḍι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00052.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00052.mp3', 'path': 'uchicago_S_Hassan/aḍḍι.mp3', 'checksum': 'afba7bf47e348085a4beb35971909594', 'status': 'downloaded'}]","stand, stop, station, (air)port",aḍḍι
adv.,uchicago_S_Hassan,aḍamzaḍ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00054.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00054.mp3', 'path': 'uchicago_S_Hassan/aḍamzaḍ.mp3', 'checksum': 'eb01e5a5a65296e4d511d75852e99feb', 'status': 'downloaded'}]","not used to best advantage, very little, used regarding the partial return of something deposited",aḍamzaḍ
adj.,uchicago_S_Hassan,afgə̄n,http://dsal.uchicago.edu/dictionaries/hassan/audio//00060.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00060.mp3', 'path': 'uchicago_S_Hassan/afgə̄n.mp3', 'checksum': '95907bf63016274c4eb9216ebd8eef19', 'status': 'downloaded'}]",one from Afghanistan,afgə̄n
adv.,uchicago_S_Hassan,aḍιwot,http://dsal.uchicago.edu/dictionaries/hassan/audio//00058.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00058.mp3', 'path': 'uchicago_S_Hassan/aḍιwot.mp3', 'checksum': '5af21be66a957da404545a06559ff7ee', 'status': 'downloaded'}]","midway between two points, half-way",aḍιwot
adj.,uchicago_S_Hassan,aḍιpʰol,http://dsal.uchicago.edu/dictionaries/hassan/audio//00056.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00056.mp3', 'path': 'uchicago_S_Hassan/aḍιpʰol.mp3', 'checksum': 'b014ddd9a6792a793eb201f1de1f49b2', 'status': 'downloaded'}]","shrink, decrease, undeveloped, do not come into flower",aḍιpʰol
